bath,bed,price,size,street,where
1.0,1.0,3890,719.0,15 Cliff Street #26C,Fulton/Seaport
1.0,3.0,3300,1200.0,397 Van Brunt #3,Red Hook
1.0,1.0,3795,800.0,110 East 87th Street #10D,Carnegie Hill
1.0,3.0,2400,1100.0,940 Prospect Place #P,Crown Heights
2.0,2.0,7700,1127.0,60 West 66th Street #19A,Lincoln Square
1.0,1.0,3050,716.0,5-11 47th Avenue #4E,Hunters Point
1.0,1.0,1895,750.0,110-23 72nd Rd #3,Forest Hills
2.0,2.0,8850,1231.0,133 West 22nd Street #7B,Chelsea
1.0,1.0,3450,650.0,77 Delancey #6C,Lower East Side
1.0,1.0,1900,800.0,4725 40th Street #5H,Sunnyside
1.0,1.0,1700,800.0,105-55 62nd Drive #2G,Forest Hills
2.0,3.0,7975,1317.0,400 West 63rd Street #1101,Lincoln Square
1.0,1.0,2300,800.0,236 E 75th Street #2B,Upper East Side
2.0,2.0,3250,910.0,90 Clermont Avenue #4,Fort Greene
3.5,3.0,4000,1250.0,417 Van Brunt Street #1,Red Hook
2.0,2.0,11000,1432.0,135 West 52nd Street #22B,Midtown
1.0,3.0,2795,1050.0,611 Nostrand Avenue #2F,Crown Heights
1.0,2.0,1925,750.0,434 E 115th Street #6,East Harlem
2.0,2.0,4900,1050.0,148 N 10th Street 2-A-GARDEN,Williamsburg
2.5,2.0,16500,1600.0,34 Leonard Street #4B,Tribeca
2.0,2.0,7600,1097.0,37 West 21st Street #1303,Flatiron
2.0,2.0,7550,1097.0,37 West 21st Street #1203,Flatiron
1.0,1.0,1695,700.0,275 Fort Washington Avenue #5D,Washington Heights
1.0,3.0,2400,1100.0,940 Prospect Place #P,Crown Heights
1.0,2.0,3575,1000.0,178 Clinton Avenue #4,Clinton Hill
1.0,1.0,1695,820.0,64-34 99th Street #5C,Rego Park
2.0,2.5,2250,1300.0,1116 Nostrand Avenue #2,Prospect Lefferts Gardens
1.0,2.0,2550,750.0,548 Leonard Street #3,Greenpoint
1.0,1.0,5200,813.0,37 West 21st Street #502,Flatiron
1.5,1.0,3850,791.0,235 East 40th Street #35B,Murray Hill
1.0,1.0,2450,1000.0,405 Butler Street #1,Park Slope
1.0,2.0,4708,785.0,550 West 54th Street #1213,Midtown West
1.0,2.0,2200,1000.0,966 Gates #1,Stuyvesant Heights
1.0,1.0,2950,750.0,145 East 92nd Street #3E,Carnegie Hill
1.0,1.5,2095,800.0,160 15th Street #3,Park Slope
3.0,5.0,9000,2400.0,12 John Street #6F,Financial District
1.0,1.0,2600,800.0,254 Dekalb #2,Clinton Hill
1.0,1.0,5150,694.0,37 West 21st Street #805,Flatiron
1.0,1.0,1500,750.0,120-10 85th Avenue #1J,Kew Gardens
2.0,2.0,7525,1097.0,37 West 21st Street #1206,Flatiron
1.0,1.0,1835,598.0,630 Lenox Avenue #5S,Central Harlem
2.0,2.0,7525,1097.0,37 West 21st Street #1206,Flatiron
1.0,1.0,2450,690.0,26-20 21st Street #5F,Astoria
1.0,1.0,5300,733.0,37 West 21st Street #1308,Flatiron
1.0,1.0,1669,360.0,532R West 50th Street #5B,Manhattan
1.0,1.0,4300,708.0,240 Central Park South #18E,Central Park South
2.0,2.0,6125,975.0,88 Leonard Street #304,Tribeca
2.5,2.0,8300,1618.0,146 West 57th Street #72/73E,Midtown
2.0,2.0,3300,888.0,161 East 110th Street #4F,East Harlem
1.0,1.0,5025,733.0,37 West 21st Street #408,Flatiron
1.5,1.0,4685,965.0,401 East 34th Street #N31D,Murray Hill
1.0,1.0,4918,1018.0,401 East 34th Street #N16B,Murray Hill
1.0,1.0,2100,800.0,81 Ocean Parkway #1,Windsor Terrace
1.0,2.0,2300,950.0,308 Lewis Avenue #3,Bedford-Stuyvesant
1.0,1.0,2350,825.0,985 Metropolitan Avenue #3R,East Williamsburg
2.0,2.0,3230,1000.0,245 East 124th Street #8T,East Harlem
2.0,2.0,6400,1190.0,350 West 43rd Street #42D,Midtown West
